Title,Company,Location,Type,Level,YearsExp,Country,Skills,MinYearsExp,MaxYearsExp
Shot Firer and Blast Crew,Confidential, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Safety, Quality",2,4
Executive Secretary to Chairman - Alexandria,Paradise Inn Hotels & Resorts, Mahta Alraml,Full Time,Experienced,7+ Yrs of Exp,Alexandria,"Microsoft Office, Office Management, Admin Assistant, Business Administration, Accounting, ERP, Back Office, Hotel, MS Office",7,9
Art Director,OVEQ, Glim,Full Time,Experienced,3-6 Yrs of Exp,Alexandria,"Adobe Illustrator, Creative, Art Director, Visual Design, After Effects, 3D, Graphic Design, Creative/Design/Art",3,6
Preschool English Teacher - New Cairo,Trillium Preschool, New Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Education, Teaching, Preschool, English, Education/Teaching",1,2
Maintenance Engineer,Confidential, Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Electrical, Machine Maintenance, Education, Training, Printing Machine, Installation/Maintenance/Repair",1,2
Call Center Agent,Air Gate, Mohandessin,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Customer Service, Call Center, Customer Care, Customer Support, Customer Service/Support",2,3
Software Technical Lead,SmartTech Systems, Nasr City,Full Time,Manager,6-8 Yrs of Exp,Cairo,"Computer Science, Information Technology (IT), .NET, C#, SQL, javaScript, AJAX, jQuery, HTML, Web APIs, Angular +2",6,8
Senior Maintenance Engineer,Confidential, Cairo,Full Time,Experienced,10+ Yrs of Exp,Egypt,"Engineering, Mechanical, Printing, Electrical, Health, Safety, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical",10,12
In-House Graphic Designer,Kabbany Construction Group, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Graphic Design, Adobe Illustrator, Adobe Photoshop, Branding, Adobe Indesign, Marketing, Adobe After effects, Infographic Animations",2,5
Outdoor Sales Representative,Confidential, 10th of Ramadan City,Full Time,Experienced,1-5 Yrs of Exp,Cairo,"Sales Skills, Outdoor Sales, Sales Target, Communication Skills, Corporate Sales, Presentation Skills, Selling Skills, Sales/Retail",1,5
Marketing Specialist,Sparks preschool, New Cairo,Full Time,Part Time,2+ Yrs of Exp,Cairo,"Social Media, E-marketing, English, Photoshop, Marketing/PR/Advertising, Media/Journalism/Publishing",2,4
Project Coordinator,Sumerge, Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"IT Project Management, Project Planning, Communication Skills, Software, English, Project Coordination, Administration",0,2
�?نى صيانة ميكانيكا,EL SHIDEED, Obour City,Full Time,Experienced,4-10 Yrs of Exp,Cairo,"�?نيين, صيانة, ميكانيكة, Manufacturing/Production",4,10
3D Design Events Wedding,Confidential, Doha,Full Time,Experienced,2-7 Yrs of Exp,Qatar,"3D Max, Photoshop, AutoCAD, Creative/Design/Art",2,7
Software Project Manager,Skep Home, Heliopolis,Full Time,Manager,5-7 Yrs of Exp,Cairo,"Project Management, HTML, Software Testing, Java, English, Computer Science, Software Development, AWS, MySQL, XCode",5,7
Upholsterer,Gulf Colours, Doha,Full Time,Experienced,2-7 Yrs of Exp,Qatar,"Excellent design skills, upholstery, Other",2,7
Sales Executive - Damietta,Hamza Group, Damietta,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Sales Skills, Sales Target, English, Negotiation, Sales/Retail",3,5
Sales Engineer - Cairo,Hamza Group, Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"HVAC, Mechanical Engineering, Construction, Sales Skills, Sales Target, Electro Mechanical, Sales/Retail",3,5
Mining Engineer,Confidential, Cairo,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Construction, Civil Engineering, Surpac, Engineering - Construction/Civil/Architecture, Engineering - Other",5,7
Labs Supervisor - San3a Tech (Alexandria),Cultiv, Bourj Alarab,Full Time,Experienced,2-3 Yrs of Exp,Alexandria,"Electronics, Management, Lab, Operations/Management, Engineering - Mechanical/Electrical",2,3
Sales Trainer (Tanta),OPPO Egypt, Tanta,Full Time,Entry Level,1-3 Yrs of Exp,Gharbia,"Communication Skills, Sales Training, Sales Skills, Sales Target, Presentation Skills, Instructor, Sales/Retail, Training/Instructor",1,3
Sales Supervisor - Tanta,OPPO Egypt, Tanta,Full Time,Entry Level,1-2 Yrs of Exp,Gharbia,"Sales Skills, Sales Target, Sales Manager, Sales Supervisor, Communication Skills, Smart Phones, English, Customer Service/Support",1,2
Co teacher Chemistry Secondary stage and High...,Kanayati Chemistry, Cairo,Internship,Entry Level,0 Yrs of Exp,Egypt,"students, internships, co teacher, online teacher assistant, Education/Teaching",0,2
Furniture and Product Designer,Metal & Steel Innovation, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Rhinoceros, Autocad, Developing Design, Steel, 3ds Max, Adobe Illustrator, Adobe Indesign, Sketching, Interior Design, Applied Arts",1,3
Labs Supervisor - San3a Tech (Assiut),Cultiv, New Assuit,Full Time,Experienced,2-3 Yrs of Exp,Assiut,"Electronics, Lab, Purchasing, Installation, Operations/Management, Engineering - Mechanical/Electrical",2,3
Co teacher Chemistry Secondary stage and High...,Confidential, Cairo,Work From Home,Entry Level,0 Yrs of Exp,Egypt,"students, internships, co teacher, online teacher assistant, Education/Teaching",0,2
"Research Intern, PhD, 2021",Google, Cairo,Internship,Entry Level,0 Yrs of Exp,Egypt,"development, problem, solving, R&D/Science, Analyst/Research",0,2
Production Engineer,Mintra - Misr for Industry and Trade, Nasr City,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"English, Microsoft Office, Mechanical Engineering, Production Engineering, Manufacturing/Production, Engineering - Mechanical/Electrical",5,7
Medical Representative - Giza,Macro Group, Giza,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Pharmacy, Science, Sales Skills, Vet, Medical Sales, Medical/Healthcare, Sales/Retail, Pharmaceutical",1,3
Customer Service Representative,Electronic House, Downtown,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Customer Care, Customer Support, Sales, Communication, Computer, Customer Service/Support, Marketing/PR/Advertising, Sales/Retail",0,2
Supply Chain Specialist,kazary, Obour City,Full Time,Experienced,1-5 Yrs of Exp,Cairo,"Logistics, Retail, menswear, Logistics/Supply Chain, Project/Program Management, Sales/Retail",1,5
Documents Management System Project Manager,Mantrac, 10th of Ramadan City,Full Time,Manager,6-8 Yrs of Exp,Cairo,"Microsoft Office, Computer Science, Computer Engineering, Networking, Project Management, DMS Project Manager, English",6,8
IT Help Desk Specialist,Confidential, Cairo,Full Time,Entry Level,0-1 Yrs of Exp,Egypt,"Help Desk, IT, IT/Software Development",0,1
"Research Intern, MSc, 2021",Google, Cairo,Internship,Entry Level,0 Yrs of Exp,Egypt,"development, problem, solving, language, · R&D/Science, Analyst/Research",0,2
Curriculum Developer,Almotahida Education, Cairo,Full Time,Work From Home,2+ Yrs of Exp,Egypt,"Curriculum Development, Education, Teaching, SME, Science, Biology, Chemistry, Engineering, Physics, Teacher, Writing",2,4
Accountant,Unimix Egypt for Readymix concrete, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Computer Skills, English, Communication, Accounting, SAP, Finance, Financial Analysis, Financial Management, Accounting/Finance",2,5
Marketing Operation Manager,Confidential, Maadi,Full Time,Manager,4-6 Yrs of Exp,Cairo,"Strategy, Market Research, Pharmacy, Pharmaceutical, Physician, Physics, Medical, Social Media, relationship, Negotiation",4,6
Psychologist,Mishkat Nour, Sohag,Full Time,Entry Level,1-4 Yrs of Exp,Egypt,"أخصائي ن�?سي, اخصائي ن�?سي, Medical/Healthcare, Other",1,4
Real Estate Sales Specialist - Hassan Allam,Beit Network For Real Estate, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Customer Service, Sales/Retail",1,3
Real Estate Sales Specialist - Emaar,Beit Network For Real Estate, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Customer Service, Sales/Retail",1,3
Sales Representative,ABS, New Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Customer Service, Customer Service/Support, Sales/Retail",1,2
Sociologist,Mishkat Nour, Sohag,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"اخصائي اجتماعي, Medical/Healthcare, Other",1,3
Real Estate Sales Specialist - Palm Hills,Beit Network For Real Estate, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Customer Service, Sales/Retail",1,3
IT Network Specialist,Raya Contact Center, 6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Networking, Computer Science, Engineering, ITIL Foundation, Security, CCNP, Communication, English, Installation",3,5
Administrator Assistant,ABS, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Office Management, Secretary, Microsoft Office, Administration",1,3
Sales Team Leader - Real Estate,Makanak, New Cairo,Full Time,Manager,5-8 Yrs of Exp,Cairo,"Females Only, Sales Team Leader, Real Estate, Sales Target, Sales Skills, Communication Skills, Presentation Skills, Management, Training",5,8
E-commerce Manager - Retail & Home Appliances...,Raneen, Giza,Full Time,Manager,5-10 Yrs of Exp,Giza,"Social Media, E-marketing, Communication, Management, Logistics, Web Merchandising, Financial Analysis, Market Research, Sales/Retail",5,10
Sales Supervisor - Beni Suef,OPPO Egypt, Beni Suef,Full Time,Manager,2-6 Yrs of Exp,Egypt,"Supervisor, OPPO, Sales Skills, Sales Target, Customer Service, English, Sales/Retail",2,6
Accounting Manager - Alexandria,Club Shoes, Alexandria,Full Time,Manager,5+ Yrs of Exp,Egypt,"Finance, Accounting Software, Computer Skills, Financial Analysis, Retail, Accounting/Finance",5,7
SEO / SEM Specialist,Semicolon Agency, Cairo,Full Time,Work From Home,2-4 Yrs of Exp,Egypt,"SEM, Digital, Advertising, PPC, Marketing Campaigns, ROI, Social Media, SEO Strategy, Marketing/PR/Advertising",2,4
Pre-Sales Executive / IT Field,Integrated Technology Group, Cairo,Full Time,Experienced,4-6 Yrs of Exp,Egypt,"Computer Science, Sales Skills, Sales Target, IT Sales, Engineering, Telecom, IT/Software Development, Sales/Retail",4,6
"Software Engineering Intern, PhD, 2021",Google, Cairo,Internship,Entry Level,0 Yrs of Exp,Egypt,"Software Engineering, Computer Science, Software Development, C++, Python, Java, Coding, Internship, Programming",0,2
Automation Sales Manager - Cairo,ECCC, Maadi,Full Time,Manager,4+ Yrs of Exp,Cairo,"Customer Service, Communication, Industrial Automation, Sales Management, Sales Skills, Sales Target, Business Development, Sales/Retail",4,6
Logistics Supervisor,wnpro, Cairo,Full Time,Manager,5+ Yrs of Exp,Egypt,"Supply Chain, Warehousing, Operations, Logistics/Supply Chain, Operations/Management",5,7
Senior iOS Developer,Integrated Technology Group, Cairo,Full Time,Experienced,4-6 Yrs of Exp,Egypt,"Mobile Applications, Information Technology (IT), Computer Science, Software Development, Engineering, Telecom, IT/Software Development",4,6
Business Development & Marketing Specialist -...,wnpro, Giza,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Business Development, Marketing, Sales Skills, Customer Service, Programming, Business Development, Marketing/PR/Advertising",1,2
DevOps Engineer & Technical Lead,Fields for Trading and Industries, Cairo,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Computer Engineering, Information Technology (IT), Software Development, Docker, AWS, Linux, MySQL, Java, MongoDB, Azure",5,7
Junior Logistics Specialist,Acrylicon Egypt for flooring, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Logistics, Supply Chain, Procurement, English, AutoCAD, Logistics/Supply Chain",1,3
Property Consultant,LandMax Real Estate, New Cairo,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Females Only, Sales Skills, Real Estate, Communication, Negotiation, Selling, Sales Target, Business Development, Sales/Retail",3,6
Business Development & Marketing Specialist,wnpro, Giza,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Business Development, Marketing, Sales Skills, Business Development, Marketing/PR/Advertising",1,2
Software Engineering or Site Reliability...,Google, Cairo,Internship,Student,0 Yrs of Exp,Egypt,"engineering, google, technologu, java, python, C++, developer, internship, IT/Software Development",0,2
Software Quality Control Engineer,Pefect Presentation, Maadi,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Software Testing, Agile, ISTQB, Computer Science, Information Technology (IT), Scrum, E-commerce, Web Testing, SQL, Quality",4,6
Accounting Manager,wnpro, Mohandessin,Full Time,Manager,5+ Yrs of Exp,Giza,"Finance, Financial Management, Financial Analysis, Accounting/Finance",5,7
Admin Assistant,Acrylicon Egypt for flooring, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Administration, Office Management, Microsoft Office, Secretary, Administration",1,3
Sales Engineer,Acrylicon Egypt for flooring, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Construction, AutoCAD, Microsoft Office, Civil Engineering, Mechanical Engineering, Sales/Retail",1,3
Content Writer,Alba Pharma, Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Social Media, Content Writing, Content Creation, Content Development, Editorial, Advertising, Facebook, Instagram, Youtube",1,3
Maintenance Engineer,Unimix Egypt for Readymix concrete, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Maintenance, Computer Skills, Mechanical Engineering, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical",2,5
Devops Engineer,"Izam, inc.", Mohandessin,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Jenkins, CI/CD, Docker, Nginx, Information Technology (IT), MySQL, Git, Apache, IT/Software Development",3,5
Corporate Lawyer,Confidential, Jeddah,Full Time,Experienced,5-8 Yrs of Exp,Saudi Arabia,"Males Preferred, Corporate Lawyer, Legal, Legal",5,8
Android Team Leader,Integrated Technology Group, Cairo,Full Time,Manager,9-14 Yrs of Exp,Egypt,"Mobile Application, Information Technology (IT), Computer Science, Telecom Engineering, Software Development, IT/Software Development",9,14
Social Media Specialist,Own It, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Social Media, Real Estate, Google Ads, E-marketing, Content Creation, Lead Generation, Marketing/PR/Advertising",2,4
Technical Office Engineer,Unimix Egypt for Readymix concrete, Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Technical Office, Engineering, Computer Skills, Mechanical, SAP, Engineering - Mechanical/Electrical",0,2
Sales Executive,Oakea furniture, New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Sales Target, Furniture Sales, Furniture Design, Customer Service, Arabic, English, Wood, Customer Service/Support, Sales/Retail",2,5
Warehouse Keeping Supervisor,Confidential, Badr City,Full Time,Manager,3+ Yrs of Exp,Cairo,"Logistics, Supply Chain, Warehouse Keepering, Logistics/Supply Chain",3,5
Telesales Representative - (Medical),health tech group, New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Females Preferred, Telesales Representative, Customer Service, Customer Support, Customer Care, Sales Skills, Sales Target, Sales/Retail",2,4
MEP Site Engineer,El-Alameya for Engineering and Project Management, Cairo,Full Time,Experienced,3-8 Yrs of Exp,Egypt,"Design, Construction, Mechanical Engineering, Electrical Engineering, MEP, Engineering - Mechanical/Electrical",3,8
Batch Plant Manager,Unimix Egypt for Readymix concrete, Alexandria,Full Time,Manager,3-5 Yrs of Exp,Egypt,"Concrete, Constructions, Six Sigma, Engineering - Construction/Civil/Architecture",3,5
Graphic Designer,AlQemam For Programming, Mansoura,Full Time,Experienced,2+ Yrs of Exp,Dakahlia,"Graphic Design, Social Media, Advertising, Creative/Design/Art, Marketing/PR/Advertising",2,4
Smart Devices Business Development Specialist,HITS Technologies, Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Customer Service, Computer Science, Sales Skills, Sales Target, English, Computer Skills, Microsoft Office, Sales/Retail",1,2
SharePoint Developer,Mantrac, 10th of Ramadan City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Software Development, ASP.NET, Web Development, javaScript, CSS, AJAX, T-SQL, SharePoint 2016/2013/2010, Html 4",3,5
Finishing & Maintenance Engineer,First Group, Hadayek October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Maintenance, Civil Engineering, Customer Service, Engineering - Construction/Civil/Architecture, Installation/Maintenance/Repair",3,5
Utility Section Head,Cepack, 10th of Ramadan City,Full Time,Manager,2+ Yrs of Exp,Sharqia,"Maintenance, Mechanical Engineering, Technical, English, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical",2,4
Online Sales Specialist,kazary, Obour City,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"Online Sales, E-Commerce, Retail, Marketing, English, Sales Skills, Menswear, Customer Service/Support, Sales/Retail, Fashion",1,5
Front-End Developer (IOS & Android),Skep Home, Cairo,Full Time,Entry Level,0-3 Yrs of Exp,Egypt,"Software Development, Front End, UI/UX, UX, iOS, Android, UI, Computer Science, IT/Software Development",0,3
UI/UX Designer,AlQemam For Programming, Mansoura,Full Time,Experienced,2+ Yrs of Exp,Dakahlia,"UI/UX Design, UI Design, Photoshop, Creative/Design/Art, IT/Software Development",2,4
Odoo ERP Senior Application Manager,Bingo Global, Sheraton,Full Time,Part Time,10-15 Yrs of Exp,Cairo,"ERP, Information Technology (IT), Odoo Modules, Computer Science, Application Manager, IT/Software Development, Project/Program Management",10,15
Science Supervisor,Nahdet Misr Publishing Group, Mohandessin,Full Time,Experienced,10+ Yrs of Exp,Giza,"Teaching, English, Communication Skills, Training, Education, R&D/Science, Education/Teaching",10,12
Sales Representative - World Gym SODIC,Wellness World, 6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Sales Skills, Sales Target, Customer Service, Healthcare, Gym, Sports, Leisure, English, Sales/Retail, Sports and Leisure",1,3
UI Developer,AlQemam For Programming, Mansoura,Full Time,Experienced,2+ Yrs of Exp,Dakahlia,"Information Technology (IT), javaScript, jQuery, HTML, CSS, Angular, Bootstrap, Computer Science, Software Development",2,4
Math Supervisor,Nahdet Misr Publishing Group, Mohandessin,Full Time,Experienced,10+ Yrs of Exp,Giza,"Curriculum, Teaching, Maths, Education, Education/Teaching",10,12
Back End Developer - PHP Laravel,Skep Home, Cairo,Full Time,Entry Level,1-5 Yrs of Exp,Egypt,"Computer Science, Software Development, Software Engineering, HTML, Information Technology (IT), PHP, MySQL, Java, AWS, APIs",1,5
Senior Structure Engineer,AluNile, Mohandessin,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Computer Science, Information Technology (IT), Civil Engineering, Engineering - Construction/Civil/Architecture, Engineering - Telecom/Technology",3,5
Supply Chain Manager,alrowad tannery, Badr City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Supply Chain, Purchasing, Logistics, English, Export, Import, Microsoft Office, Computer Skills, Microsoft Excel, Management",2,5
Technical Operations SME & Cloud Expert,Confidential, Cairo,Full Time,Shift Based,6-8 Yrs of Exp,Egypt,"Cloud, Linux, AWS, CCNA, RHCE, IT, Computer Science, Development, Networking, Troubleshooting, IT/Software Development",6,8
Technical Support Engineer,Confidential, Cairo,Full Time,Shift Based,4-6 Yrs of Exp,Egypt,"Linux, Technical Support, CCNA, Information Technology (IT), Computer Science, Networking, Engineering, SS7, GSM, Troubleshoot",4,6
Infection Control Specialist,Baheya Center, Haram,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Infection Control, Healthcare, Medicine, Pharmacy, Dentistry, Medical/Healthcare",1,3
Graphic Designer,Royal Future Light for Publishing, Faisal,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Adobe Photoshop, Adobe Illustrator, InDesign, Communication, Design Software, Technologies, Creative/Design/Art",2,3
Odoo Developer - Cairo,IPC, New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Python, Odoo Modules, Design, APIs, Computer Science, Information Technology (IT), IT/Software Development, Engineering - Telecom/Technology",2,4
Sales Representative - FMCG,Garawany brothers, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Indoor Sales, Outdoor Sales, FMCG, Sales Target, Sales/Retail",1,3
Associate Systems Engineer,Sumerge, Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"DevOps, Gitlab, Jenkins, Docker, Kubernetes, DHCP, DNS, SSL, TCP, UDP, Information Technology (IT), Microsoft Server, Tomcat",1,3
Data Entry Specialist,Homix, Mohandessin,Full Time,Entry Level,1+ Yrs of Exp,Giza,"Administration, Microsoft Office, Typing Skills, Content, Administration, Writing/Editorial",1,3
